AudioSentence,Frase,Item,Condition,Group,Type
OB21.wav,O produtor inspirava o artista.,21,OB21,D,Experimental
SS22.wav,A assistente amava o prefeito.,22,SS22,D,Experimental
OS23.wav,O professor criticava o aluno.,23,OS23,D,Experimental
SA24.wav,O sargento exaltava o soldado.,24,SA24,D,Experimental
DIST1.wav,O aluno tinha todos os livros.,25,DIST1,D,Filler
DIST2.wav,A secretária escreveu a mensagem.,26,DIST2,D,Filler
DIST3.wav,O contador disse que alguém faltou.,27,DIST3,D,Filler
DIST4.wav,A bolsa será cortada se o aluno reprovar todas as disciplinas.,28,DIST4,D,Filler
DIST5.wav,O novo cozinheiro comprou feijão.,29,DIST5,D,Filler
DIST6.wav,A aluna escreve boas redações.,30,DIST6,D,Filler
DIST7.wav,A filha é suspeita da morte da mãe.,31,DIST7,D,Filler
DIST8.wav,Maria costurava meias.,32,DIST8,D,Filler
DIST9.wav,Um navio brasileiro entrava na baía.,33,DIST9,D,Filler
DIST10.wav,A professora estava doente.,34,DIST10,D,Filler
DIST11.wav,O locutor anunciou algo no jornal da TV.,35,DIST11,D,Filler
DIST12.wav,O policial viu o turista ontem.,36,DIST12,D,Filler
DIST13.wav,O aluno abraçou o amigo.,37,DIST13,D,Filler
DIST14.wav,O professor escreveu a tese.,38,DIST14,D,Filler
DIST15.wav,A mãe fez um bolo.,39,DIST15,D,Filler
DIST16.wav,O professor usava o computador.,40,DIST16,D,Filler
DIST17.wav,A atriz perdeu o prêmio.,41,DIST17,D,Filler
DIST18.wav,Apenas a casa está à venda.,42,DIST18,D,Filler
DIST19.wav,O ladrão catava o lixo.,43,DIST19,D,Filler
DIST20.wav,A mulher encontrava o ator.,44,DIST20,D,Filler
DIST21.wav,Destranca o armário de madeira.,45,DIST21,D,Filler
DIST22.wav,Eu evito sair de casa sem documento.,46,DIST22,D,Filler
DIST23.wav,Não gostei do assunto sobre o qual o professor falou.,47,DIST23,D,Filler
DIST24.wav,Marina brincava no parque.,48,DIST24,D,Filler
DIST25.wav,Marina tirou o quadro da parede.,49,DIST25,D,Filler
DIST26.wav,O gato arranhou a mão do vizinho.,50,DIST26,D,Filler
DIST27.wav,Apenas o diretor estava no evento.,51,DIST27,D,Filler
DIST28.wav,O empregado sujava a janela.,52,DIST28,D,Filler
DIST29.wav,O jogo de voleibol acabou em briga.,53,DIST29,D,Filler
DIST30.wav,A menina pulava corda com as amigas.,54,DIST30,D,Filler
DIST31.wav,O pastor protestante ajudou o estofador no altar.,55,DIST31,D,Filler
DIST32.wav,Renata jogava basquete com os amigos.,56,DIST32,D,Filler
SB1.wav,O senador atacava o repórter.,1,SB1,E,Experimental
OB2.wav,A diretora visitava a atriz.,2,OB2,E,Experimental
SS3.wav,A cantora adorava o maestro.,3,SS3,E,Experimental
OS4.wav,A vizinha procurava a criança.,4,OS4,E,Experimental
SA5.wav,O caçador observava o guarda.,5,SA5,E,Experimental
OA6.wav,O fazendeiro saudava o camponês.,6,OA6,E,Experimental
SB7.wav,O dentista perturbava o cliente.,7,SB7,E,Experimental
OB8.wav,O agente confrontava o detento.,8,OB8,E,Experimental
SS9.wav,O editor detestava a modelo.,9,SS9,E,Experimental
OS10.wav,O pedreiro olhava o encanador.,10,OS10,E,Experimental
SA11.wav,O escritor subornava o músico.,11,SA11,E,Experimental
OA12.wav,A cozinheira namorava o garçom.,12,OA12,E,Experimental
SB13.wav,O zagueiro odiava o goleiro.,13,SB13,E,Experimental
OB14.wav,O hóspede insultava o gerente.,14,OB14,E,Experimental
SS15.wav,O técnico xingava o jogador.,15,SS15,E,Experimental
OS16.wav,O ladrão intimidava o porteiro.,16,OS16,E,Experimental
SA17.wav,O paciente chamava o médico.,17,SA17,E,Experimental
OA18.wav,O pescador ajudava o feirante.,18,OA18,E,Experimental
SB19.wav,O passageiro puxava o piloto.,19,SB19,E,Experimental
OB20.wav,O promotor irritava o banqueiro.,20,OB20,E,Experimental
